Key,Issue Type,Summary,Dept,Due Date,Created,Resolved
DW-4696,Story,DW4469 - ISAT Dashboard,Security,,5/18/14,8/13/14
DW-4695,Story,CAL-23 Unified Calendar,ITS,,8/6/14,9/17/14
DW-3607,Bug,UA - Windows Decommission,UA,2/25/13,1/20/13,9/5/13
DW-3603,Task,IM1216 - ICMA Dashboard,OR,3/15/13,1/20/13,8/21/13
DW-3602,Task,IM1214 - Maint/Extract Date Auditing Tool,ITS,1/18/13,1/20/13,1/22/13
DW-3601,Task,EA1202 - Predictive Scheduling (uDirect),OR,,1/20/13,8/7/14
DW-3338,Task,IM1102 - Group Management Infrastructure Implementation (DW Component),ITS,,7/25/12,3/14/13
DW-3292,Task,DB1103 - Data Warehouse 11gR2 Upgrade,ITS,,6/28/12,8/7/12
DW-2829,Task,Database Encryption - Change Management,ITS,,10/24/11,2/29/12
DW-2755,Task,IM6004 - Implement Groups in Data Warehouse,ITS,,10/4/11,3/11/14
DW-2602,New Feature,IM1101 - Financial Aid Reporting Solution,FA,,8/5/11,8/28/12
DW-2338,Task,Brio Replacement,OR,,3/14/11,3/13/12
DW-2312,Task,Bring two new tables into DW DEV for CFS Development,FIN,,2/28/11,3/1/11
DW-1861,Task,CS0112 - Script Server to Linux Project,ITS,9/3/10,8/23/10,10/18/10
DW-1604,New Feature,IM9012 - Student Financials Reporting Solution Project,SF,10/8/10,5/27/10,7/7/11
DW-1165,New Feature,IM9012 - Student Financials Reporting Solution,SF,,12/29/09,6/14/10
DW-994,New Feature,IM9013 - MCA Reporting Solution,ADM,,9/30/09,7/7/11
DW-290,New Feature,IM9011 - Labor Cost Reporting Solution,FIN,12/31/09,2/20/09,5/25/10
DW-274,Task,ITS8001 - Zimbra Provisioning,ITS,,2/17/09,9/28/09
DW-270,New Feature,IM9009 - CSU Finance DW Reporting /Finance Database Consolidation,FIN,6/30/09,2/13/09,8/28/09
DW-230,New Feature,ITS7005 - Create Police Dept Reporting Solution,UPD,,2/4/09,11/29/11
DW-204,New Feature,IM9008 - Allow for querying of term-specific attributes,OR,3/15/09,1/28/09,4/14/09
DW-136,New Feature,IM8006 - Create HR Dashboard,HR,,1/15/09,2/8/10
DW-125,New Feature,IM6003 - Groups Infrastructure,ITS,,1/14/09,9/8/11
DW-120,New Feature,IM8005 - Advance Web Module,UA,,1/13/09,9/28/09
DW-65,New Feature,ITS7005 - Create SA Brio Replacement Dashboard,OR,,12/31/08,3/13/09
DW-52,New Feature,ITS7005 - BI Tools (BI Publisher),ITS,,12/31/08,3/26/09
DW-45,New Feature,IM9008 - Enrollment Management Dashboard,OR,,12/31/08,7/13/09
DW-44,New Feature,IM9007 - Finance Decision Support,FIN,,12/31/08,1/30/09
DW-43,Improvement,IM9008 - Student Plan/Sub-Plan Issue,OR,2/1/09,12/31/08,2/2/09
DW-39,New Feature,IM7002 - Enrollment Model,OR,,12/31/08,1/9/09
DW-33,New Feature,ITS7005 - BI Tools Implementation (OBIEE),ITS,,12/31/08,3/26/09
DW-14,New Feature,IM9005 - Facilities Management Reporting Solution,FAC,,12/30/08,8/26/10
DW-9,New Feature,SD5001 - Pinnacle Upgrade,ITS,2/27/09,12/30/08,3/27/09
DW-1,New Feature,IM8006 - HR Reporting Solution,HR,2/26/10,12/30/08,10/8/10
